	title	href	company	compensation
0	Software developer	https://tver.hh.ru/vacancy/32843807?query=Python	OOO Integer	30000.0
1	Lead Mobile Networking Architect	https://tver.hh.ru/vacancy/33321515?query=Python	Nokia Networks	
2	Developer-analyst	https://tver.hh.ru/vacancy/32790471?query=Python	OOO Alpha Company	55000.0
3	Python-developer	https://tver.hh.ru/vacancy/31510872?query=Python	RuBaseIT	52500.0
4	Python-developer	https://tver.hh.ru/vacancy/32730086?query=Python	RuBaseIT	60000.0
5	Python&JS-developer	https://tver.hh.ru/vacancy/30693999?query=Python	RuBaseIT	70000.0
6	DevOps Engineer Linux	https://tver.hh.ru/vacancy/33009714?query=Python	OOO Telecontact	50000.0
7	Python teacher	https://tver.hh.ru/vacancy/32856867?query=Python	techno-land Quantorium	33000.0
8	Senior QA Engineer	https://tver.hh.ru/vacancy/32849995?query=Python	Studio-Evolution	95000.0
9	DB-developer	https://tver.hh.ru/vacancy/31510793?query=Python	RuBaseIT	
10	Software Engineer	https://tver.hh.ru/vacancy/31510904?query=Python	RuBaseIT	
11	Senior system analyst	https://tver.hh.ru/vacancy/31452735?query=Python	Accenture	
12	DB-developer	https://tver.hh.ru/vacancy/31510838?query=Python	RuBaseIT	
13	BigData-developer	https://tver.hh.ru/vacancy/32803116?query=Python	EPAM System Inc	
